Time,inertial-6253.76535:estCompensatedAccelX,inertial-6253.76535:estCompensatedAccelX:valid,inertial-6253.76535:estCompensatedAccelY,inertial-6253.76535:estCompensatedAccelY:valid,inertial-6253.76535:estCompensatedAccelZ,inertial-6253.76535:estCompensatedAccelZ:valid,inertial-6253.76535:estAngularRateX,inertial-6253.76535:estAngularRateX:valid,inertial-6253.76535:estAngularRateY,inertial-6253.76535:estAngularRateY:valid,inertial-6253.76535:estAngularRateZ,inertial-6253.76535:estAngularRateZ:valid,inertial-6253.76535:estRoll,inertial-6253.76535:estRoll:valid,inertial-6253.76535:estPitch,inertial-6253.76535:estPitch:valid,inertial-6253.76535:estYaw,inertial-6253.76535:estYaw:valid,inertial-6253.76535:estLinearAccelX,inertial-6253.76535:estLinearAccelX:valid,inertial-6253.76535:estLinearAccelY,inertial-6253.76535:estLinearAccelY:valid,inertial-6253.76535:estLinearAccelZ,inertial-6253.76535:estLinearAccelZ:valid
0.179999232,-4.32151413,1,-3.83129859,1,-7.941231728,1,-0.006621986,1,-0.025096606,1,0.018119525,1,0.460056543,1,-0.440784097,1,0.313600212,1,-0.148819447,1,0.096026421,1,-0.015554428,1
0.183997691,-4.285464287,1,-3.858615875,1,-7.925583839,1,-0.008937534,1,-0.029254654,1,0.01708284,1,0.460011661,1,-0.440906674,1,0.313619912,1,-0.111685276,1,0.06812644,1,-0.000188351,1
0.187997177,-4.293989658,1,-3.896152496,1,-7.939388752,1,-0.009672673,1,-0.029139014,1,0.017524527,1,0.459964961,1,-0.44103834,1,0.313639611,1,-0.119045734,1,0.029976368,1,-0.014301777,1
0.191998467,-4.279303551,1,-3.909281731,1,-7.879495144,1,-0.009873883,1,-0.026420603,1,0.019939095,1,0.459916919,1,-0.441174388,1,0.313651741,1,-0.103156567,1,0.016214132,1,0.045271397,1
0.195995897,-4.249438286,1,-3.903100491,1,-7.915462971,1,-0.009214509,1,-0.033844583,1,0.021063032,1,0.459868014,1,-0.441312611,1,0.313676417,1,-0.072069168,1,0.02175045,1,0.00897646,1
0.200001284,-4.2499547,1,-3.873786211,1,-7.89317894,1,-0.008383761,1,-0.026047574,1,0.022254171,1,0.459820092,1,-0.441455096,1,0.313704431,1,-0.071325302,1,0.05042243,1,0.030917645,1
0.204002813,-4.274760246,1,-3.869676352,1,-7.936965466,1,-0.010673973,1,-0.023897117,1,0.022971904,1,0.459764481,1,-0.441590607,1,0.313735098,1,-0.094932556,1,0.053841114,1,-0.013155937,1
0.208000511,-4.296692848,1,-3.882739067,1,-7.905953407,1,-0.010327302,1,-0.027321395,1,0.023567876,1,0.459667593,1,-0.441806316,1,0.313482821,1,-0.114958286,1,0.039609432,1,0.017425537,1
0.212005883,-4.187387466,1,-3.79835844,1,-7.973388195,1,-0.010812181,1,-0.036042698,1,0.021949535,1,0.459611207,1,-0.441941917,1,0.313519239,1,-0.004454136,1,0.123291731,1,-0.050296307,1
0.21600768,-4.242233276,1,-3.918924093,1,-7.846031189,1,-0.01247451,1,-0.034616329,1,0.026989006,1,0.459547013,1,-0.442123622,1,0.313540548,1,-0.057693481,1,0.001881123,1,0.076632023,1
0.220005631,-4.22672987,1,-3.869580269,1,-7.91053915,1,-0.011741097,1,-0.032548938,1,0.026075142,1,0.459478945,1,-0.442287356,1,0.313582659,1,-0.040742874,1,0.050381422,1,0.011776924,1
0.224005118,-4.272877693,1,-3.86010766,1,-7.942923069,1,-0.007726472,1,-0.031223979,1,0.030624907,1,0.459404826,1,-0.442458034,1,0.313634187,1,-0.085381985,1,0.058949709,1,-0.02095747,1
0.228007168,-4.248888016,1,-3.851139307,1,-7.998076916,1,-0.00634388,1,-0.032492794,1,0.031796154,1,0.459350228,1,-0.442631155,1,0.313689291,1,-0.059862137,1,0.067163944,1,-0.0765481,1
